Taxa_group,Phylum,Order,Family,Genus,Species,Final_ID,Primer_name
Invertebrate,Annelida,Lumbriculida,Sparganophilidae,Sparganophilus,tamesis,Sparganophilus_tamesis,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Bothrioneurum,vejdovskyanum,Bothrioneurum_vejdovskyanum,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Chaetogaster,diaphanus,Chaetogaster_diaphanus,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Chaetogaster,diastrophus,Chaetogaster_diastrophus,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Dero,digitata,Dero_digitata,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Dero,vaga,Dero_vaga,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Ilyodrilus,templetoni,Ilyodrilus_templetoni,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Limnodrilus,hoffmeisteri,Limnodrilus_hoffmeisteri,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Nais,christinae,Nais_christinae,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Nais,communis,Nais_communis,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Pristina,aequiseta,Pristina_aequiseta,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Pristina,longiseta,Pristina_longiseta,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Slavina,appendiculata,Slavina_appendiculata,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Specaria,josinae,Specaria_josinae,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Stylaria,fossularis,Stylaria_fossularis,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Stylaria,lacustris,Stylaria_lacustris,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Uncinais,uncinata,Uncinais_uncinata,16SMOL
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,freyi,Bosmina_freyi,16SMOL
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,liederi,Bosmina_liederi,16SMOL
Invertebrate,Arthropoda,Diplostraca,Cercopagididae,Bythotrephes,longimanus,Bythotrephes_longimanus,16SMOL
Invertebrate,Arthropoda,Diplostraca,Chydoridae,Alonella,nana,Alonella_nana,16SMOL
Invertebrate,Arthropoda,Diplostraca,Polyphemidae,Polyphemus,pediculus,Polyphemus_pediculus,16SMOL
Bacteria,Bacteroidota,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,Flavobacterium_sp,16SMOL
Invertebrate,Bryozoa,Ctenostomatida,Paludicellidae,Paludicella,articulata,Paludicella_articulata,16SMOL
Invertebrate,Bryozoa,Phylactolaemata,Cristatellidae,Cristatella,mucedo,Cristatella_mucedo,16SMOL
Invertebrate,Bryozoa,Phylactolaemata,Fredericellidae,Fredericella,indica,Fredericella_indica,16SMOL
Invertebrate,Bryozoa,Phylactolaemata,Plumatellidae,Plumatella,repens,Plumatella_repens,16SMOL
Invertebrate,Bryozoa,Phylactolaemata,Plumatellidae,Plumatella,rugosa,Plumatella_rugosa,16SMOL
Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,eos,Chrosomus_eos,16SMOL
Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,neogaeus,Chrosomus_neogaeus,16SMOL
Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,promelas,Pimephales_promelas,16SMOL
Fish,Chordata,Esociformes,Esocidae,Esox,lucius,Esox_lucius,16SMOL
Fish,Chordata,Esociformes,Esocidae,Esox,masquinongy,Esox_masquinongy,16SMOL
Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,melanostomus,Neogobius_melanostomus,16SMOL
Fish,Chordata,Gobiiformes,Gobiidae,Proterorhinus,semilunaris,Proterorhinus_semilunaris,16SMOL
Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,rupestris,Ambloplites_rupestris,16SMOL
Fish,Chordata,Perciformes,Centrarchidae,Lepomis,,Lepomis_sp,16SMOL
Mammal,Chordata,Rodentia,Castoridae,Castor,canadensis,Castor_canadensis,16SMOL
Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,inconstans,Culaea_inconstans,16SMOL
Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,natalis,Ameiurus_natalis,16SMOL
Invertebrate,Mollusca,_Neotaenioglossa,Hydrobiidae,Marstonia,hershleri,Marstonia_hershleri,16SMOL
Invertebrate,Annelida,Tubificida,Naididae,Chaetogaster,diaphanus,Chaetogaster_diaphanus,16SMOL2
Invertebrate,Annelida,Tubificida,Naididae,Limnodrilus,hoffmeisteri,Limnodrilus_hoffmeisteri,16SMOL2
Invertebrate,Annelida,Tubificida,Naididae,Nais,christinae,Nais_christinae,16SMOL2
Invertebrate,Annelida,Tubificida,Naididae,Slavina,appendiculata,Slavina_appendiculata,16SMOL2
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,freyi,Bosmina_freyi,16SMOL2
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,liederi,Bosmina_liederi,16SMOL2
Invertebrate,Arthropoda,Diplostraca,Chydoridae,Alonella,nana,Alonella_nana,16SMOL2
